food_group,total,at_home,total_away_from_home,resturant,fast food,school,other,,,,,,,
Added sugar (tsp),,,,,,,,,,,,,,
   Total population1,16.20,11.31,4.89,0.94,2.26,0.20,1.48,,,,,,,
      Children age 2Ð19,16.05,10.33,5.72,0.80,2.25,0.85,1.82,,,,,,,
      Adults age 20Ð642,17.18,12.05,5.13,1.00,2.65,NA,1.49,,,,,,,
      Seniors age 65 and above2,12.73,10.00,2.73,0.92,0.83,NA,0.98,,,,,,,
      Household income < 185% poverty line,16.45,11.97,4.47,0.73,1.97,0.31,1.47,,,,,,,
      Household income 185Ð300% poverty line,17.01,11.56,5.45,1.05,2.38,0.18,1.84,,,,,,,
      Household income > 300% poverty line,15.60,10.56,5.04,1.09,2.48,0.12,1.35,,,,,,,
Discretionary fats (g),,,,,,,,,,,,,,
   Total population1,34.86,22.82,12.04,2.95,5.87,0.55,2.67,,,,,,,
      Children age 2Ð19,33.73,21.30,12.43,1.96,5.28,2.29,2.89,,,,,,,
      Adults age 20Ð642,36.00,22.95,13.04,3.42,6.96,NA,2.67,,,,,,,
      Seniors age 65 and above2,32.33,24.63,7.69,2.68,2.69,NA,2.33,,,,,,,
      Household income < 185% poverty line,33.74,22.93,10.80,2.25,5.11,0.87,2.57,,,,,,,
      Household income 185Ð300% poverty line,35.78,23.88,11.90,2.45,5.78,0.55,3.12,,,,,,,
      Household income > 300% poverty line,35.55,22.26,13.29,3.84,6.65,0.24,2.57,,,,,,,
Discretionary oils (g),,,,,,,,,,,,,,
   Total population1,27.11,16.30,10.81,3.24,5.61,0.37,1.59,,,,,,,
      Children age 2Ð19,22.93,13.36,9.57,1.75,4.69,1.56,1.56,,,,,,,
      Adults age 20Ð642,29.65,17.42,12.23,3.81,6.80,NA,1.61,,,,,,,
      Seniors age 65 and above2,23.88,16.51,7.37,3.31,2.52,NA,1.54,,,,,,,
      Household income < 185% poverty line,25.43,15.90,9.54,2.37,4.98,0.55,1.64,,,,,,,
      Household income 185Ð300% poverty line,25.76,15.88,9.88,3.09,5.09,0.36,1.34,,,,,,,
      Household income > 300% poverty line,29.32,16.88,12.44,4.14,6.44,0.21,1.65,,,,,,,
Dairy (cup),,,,,,,,,,,,,,
   Total population1,1.60,1.12,0.48,0.09,0.25,0.07,0.07,,,,,,,
      Children age 2Ð19,1.94,1.25,0.68,0.06,0.26,0.28,0.08,,,,,,,
      Adults age 20Ð642,1.54,1.08,0.46,0.11,0.29,NA,0.06,,,,,,,
      Seniors age 65 and above2,1.32,1.08,0.24,0.08,0.09,NA,0.07,,,,,,,
      Household income < 185% poverty line,1.54,1.07,0.47,0.07,0.22,0.10,0.07,,,,,,,
