food_group,total ,at_home,total,restaurant ,fast_food,school,other
Added sugar (tsp),,,,,,,
   Total population1,16.94,12.13,4.81,0.85,2.53,0.17,1.26
      Children age 2Ð19,16.55,11.15,5.40,0.61,2.66,0.73,1.40
      Adults age 20Ð642,17.76,12.68,5.07,0.96,2.89,NA,1.22
      Seniors age 65 and above2,14.37,11.49,2.87,0.79,0.93,NA,1.16
      Household income < 185% poverty line,17.70,13.16,4.54,0.60,2.42,0.24,1.28
      Household income 185Ð300% poverty line,18.94,14.41,4.53,0.82,2.55,0.22,0.94
      Household income > 300% poverty line,15.49,10.33,5.16,1.09,2.63,0.09,1.35
Discretionary fats (g),,,,,,,
   Total population1,36.24,23.92,12.32,2.64,6.66,0.45,2.58
      Children age 2Ð19,33.84,21.95,11.89,1.31,6.00,1.88,2.71
      Adults age 20Ð642,37.32,23.89,13.43,3.14,7.79,NA,2.51
      Seniors age 65 and above2,35.70,26.99,8.71,2.77,3.30,NA,2.64
      Household income < 185% poverty line,34.11,22.65,11.46,1.76,6.34,0.67,2.70
      Household income 185Ð300% poverty line,39.30,27.40,11.90,2.59,6.82,0.58,1.91
      Household income > 300% poverty line,37.16,23.87,13.29,3.50,6.90,0.19,2.70
Discretionary oils (g),,,,,,,
   Total population1,29.12,17.58,11.55,3.50,6.02,0.29,1.74
      Children age 2Ð19,24.68,14.62,10.06,1.70,5.74,1.22,1.40
      Adults age 20Ð642,31.36,18.30,13.06,4.17,7.03,NA,1.87
      Seniors age 65 and above2,27.22,19.26,7.95,3.61,2.59,NA,1.76
      Household income < 185% poverty line,27.42,16.61,10.81,2.47,6.31,0.41,1.62
      Household income 185Ð300% poverty line,28.15,17.85,10.29,2.87,5.92,0.33,1.17
      Household income > 300% poverty line,31.09,18.40,12.69,4.69,5.79,0.16,2.05
Dairy (cup),,,,,,,
   Total population1,1.53,1.07,0.47,0.09,0.26,0.05,0.06
      Children age 2Ð19,1.81,1.19,0.62,0.04,0.27,0.22,0.08
      Adults age 20Ð642,1.47,1.00,0.47,0.10,0.30,NA,0.06
      Seniors age 65 and above2,1.34,1.12,0.22,0.08,0.09,NA,0.04
      Household income < 185% poverty line,1.49,1.05,0.44,0.05,0.25,0.08,0.07
      Household income 185Ð300% poverty line,1.58,1.15,0.43,0.08,0.23,0.07,0.05
      Household income > 300% poverty line,1.55,1.05,0.50,0.13,0.28,0.02,0.07
Fruit (cup),,,,,,,
   Total population1,0.93,0.80,0.13,0.01,0.04,0.03,0.05
